Quality,MSE,PSNR,SSIM
0,82.29045187248529,23.94501358915276,0.7555356865755141
5,46.78681393789333,26.325377048967546,0.8046862888060649
10,25.252299339729703,28.698710081616177,0.8662053382463827
15,19.67803053750129,29.950234201171384,0.8983936731816239
20,17.15702181987001,30.79855599159474,0.9177736257309537
25,15.757767203136284,31.446858400159044,0.9294424071464472
30,14.734579077684927,32.004132252494664,0.9382163809206532
35,13.923161044052408,32.54546182048726,0.9450555673344729
40,13.31455302795832,32.89561284964002,0.9490292194503264
45,12.69007660167131,33.38855932980036,0.9546009198585544
50,12.083903332301661,33.83345790128309,0.9581716026813062
55,11.681582069534716,34.13970261801454,0.9603368300296068
60,11.3828174971629,34.46899372921282,0.9638649899534516
65,10.308185030434334,35.38229438527132,0.9690341714404789
70,9.30165841328794,36.26122898572631,0.9730059605956949
75,8.556391210151656,36.82962131775998,0.9758360827527769
80,8.188995924894254,37.20406639305554,0.9789268371974306
85,3.325257918085216,42.07487435830693,0.9918924494033308
90,0.005941143092953678,69.60841829528609,0.9999069023728915
95,0.15418858970391003,55.46659605898582,0.9988504679066205
100,0.03902042711234912,61.43419823238511,0.9995057764767996
